mineral,use,source_country1,status1,score1,source_country2,status2,score2,source_country3,status3,score3,source_country4,status4,score4,source_country5,status5,score5,overall_score,us_demand
Aluminum,used in almost all sectors of the economy,China,competitor,3,Russia,competitor,3,Canada,ally,1,India,ally,1,United Arab Emirates,ally,1,9,High
Antimony,used in lead-acid batteries and flame retardants,China,competitor,3,Russia,competitor,3,Tajikistan,ally,1,Bolivia,competitor,3,Myanmar,competitor,3,13,Medium
Arsenic,used in semi-conductors,China,competitor,3,Chile,ally,1,Morocco,ally,1,Peru,ally,1,Russia,competitor,3,9,Low
Barite,used in hydrocarbon production.,China,competitor,3,India,ally,1,Morocco,ally,1,United States,ally,1,Mexico,ally,1,7,Medium
Beryllium,used as an alloying agent in aerospace and defense industries,United States,ally,1,China,competitor,3,Mozambique,ally,1,Brazil,neutral,2,Madagascar,ally,1,8,High
Bismuth,used in medical and atomic research,China,competitor,3,Vietnam,ally,1,Mexico,ally,1,Bolivia,competitor,3,Peru,ally,1,9,Medium
Cerium,used in catalytic converters,China,competitor,3,Myanmar,competitor,3,Australia,ally,1,India,ally,1,Brazil,neutral,2,10,High
Cesium,used in research and development,Canada,ally,1,Zimbabwe,neutral,2,Afghanistan,competitor,3,Brazil,neutral,2,Russia,competitor,3,11,Medium
Chromium,used primarily in stainless steel and other alloys,South Africa,neutral,2,Kazakhstan,ally,1,India,ally,1,Turkey,ally,1,Finland,ally,1,6,High
Cobalt,used in rechargeable batteries and superalloys,Democratic Republic of Congo,neutral,2,China,competitor,3,Canada,ally,1,Australia,ally,1,Cuba,competitor,3,10,High
Dysprosium,used in permanent magnets,China,competitor,3,Australia,ally,1,United States,ally,1,Brazil,neutral,2,Russia,competitor,3,10,High
Erbium,used in fiber optics,China,competitor,3,Brazil,neutral,2,India,ally,1,Russia,competitor,3,Thailand,ally,1,10,Mediun
Europium,used in phosphors and nuclear control rods,China,competitor,3,France,ally,1,Estonia,ally,1,Malaysia,ally,1,United States,ally,1,7,Mediun
Fluorspar,used in the manufacture of aluminum,China,competitor,3,Mexico,ally,1,Mongolia,ally,1,South Africa,neutral,2,Spain,ally,1,8,Medium
Gadolinium,used in medical imaging,China,competitor,3,India,ally,1,Russia,competitor,3,Malaysia,ally,1,Brazil,neutral,2,10,Mediun
Gallium,used for integrated circuits and optical devices like LEDs,China,competitor,3,Ukraine,ally,1,Germany,ally,1,Kazakhstan,ally,1,United States,ally,1,7,Medium
Germanium,used for fiber optics and night vision applications,China,competitor,3,Russia,competitor,3,Peru,ally,1,Namibia,ally,1,United States,ally,1,9,Medium
Graphite ,used for lubricants,China,competitor,3,India,ally,1,Brazil,neutral,2,Canada,ally,1,Mozambique,ally,1,8,High
Hafnium,used for nuclear control rods,China,competitor,3,Ukraine,ally,1,Russia,competitor,3,Brazil,neutral,2,United States,ally,1,10,Medium
Holmium,used in permanent magnets,China,competitor,3,Russia,competitor,3,United States,ally,1,Brazil,neutral,2,India,ally,1,10,Mediun
Indium,used in liquid crystal display screens,China,competitor,3,South Korea,ally,1,Canada,ally,1,Japan,ally,1,Belgium,ally,1,7,Medium
Iridium,used as coating of anodes for electrochemical processes and as a chemical catalyst,South Africa,neutral,2,Russia,competitor,3,Zimbabwe,neutral,2,Canada,ally,1,United States,ally,1,9,Mediun
Lanthanum,used to produce catalysts,China,competitor,3,Australia,ally,1,Brazil,neutral,2,Malaysia,ally,1,India,ally,1,8,Medium
Lithium,used for rechargeable batteries,Australia,ally,1,Chile,ally,1,China,competitor,3,Zimbabwe,neutral,2,Argentina,ally,1,8,High
Lutetium,used in scintillators for medical imaging,China,competitor,3,Russia,competitor,3,Brazil,neutral,2,India,ally,1,United States,ally,1,10,Mediun
